"item_id","empirical_accuracy","benchmark","primary_semantic","question_snippet","F1","F2","F3","strongest_factor","max_abs_loading","n_active_factors","active_pattern"
"ifeval_20260421T021146Z_433",0.770491803278688,"ifeval","instruction/constraint following","Write cover letters for a job application. It is for an assistant professor position. Provide exactly two versions and separate them with six asterisk symbols: Cover letter version 1 ****** Cover letter version 2 Also, refrain from using commas in your response.",0.912308702816605,0,0.527889974874005,"F1",0.912308702816605,2,"101"
"ifeval_20260421T021146Z_417",0.770491803278688,"ifeval","instruction/constraint following","Write a limerick about writing a limerick. Don't use any commas in your entire reply.",0.897132254495396,0,0.57285820111106,"F1",0.897132254495396,2,"101"
"ifeval_20260421T021146Z_274",0.786885245901639,"ifeval","instruction/constraint following","Give two different responses to the question ""Is it ethical to hunt and eat invasive species?"", separated by 6 asterisk symbols ****** and without using any commas.",0.887573204001322,0,0.503238061569894,"F1",0.887573204001322,2,"101"
"ifeval_20260421T021146Z_343",0.762295081967213,"ifeval","instruction/constraint following","Write a list of the top 10 facts about the UK without using commas.",0.870598525652479,0,0.519526658613169,"F1",0.870598525652479,2,"101"
"ifeval_20260421T021146Z_350",0.795081967213115,"ifeval","instruction/constraint following","How can you get to know someone on a deep level in a romantic relationship? The answer should involve the topic of vulnerability. Do not use any commas in your response.",0.865866543525443,0,0.651420979213909,"F1",0.865866543525443,2,"101"
"ifeval_20260421T021146Z_170",0.614754098360656,"ifeval","instruction/constraint following","What do you think about this statement: ""Wizards are more powerful than sorcerers because they study magic instead of being born with it.""? Your response should contain at least 30 sentences and exactly 2 bullet points. Also, it must contain at least 8 placeholders represented by square brackets, such as [address]. Use the bullet points like: * This is a bul",0.863505238688492,0,0.546617171494313,"F1",0.863505238688492,2,"101"
"ifeval_20260421T021146Z_125",0.59016393442623,"ifeval","instruction/constraint following","Generate two alternative product descriptions: The product is a new type of paper that can be used to wrap food, and is edible. First repeat the prompt above without change, then give your answer. Please do not say any word before repeating the prompt above.",0.862096103161835,0,0.546944504800808,"F1",0.862096103161835,2,"101"
"ifeval_20260421T021146Z_502",0.745901639344262,"ifeval","instruction/constraint following","Write a riddle about Camilla that doesn't use commas.",0.859140434871557,0,0.594129651244372,"F1",0.859140434871557,2,"101"
"ifeval_20260421T021146Z_213",0.819672131147541,"ifeval","instruction/constraint following","Explain the difference between a city and a village in a rap style to a kid. The words with all capital letters should appear at least 10 times. Put the response into at least 5 sections, separated using 3 asterisks ***.",0.811475135584615,0,0.61586679267319,"F1",0.811475135584615,2,"101"
"ifeval_20260421T021146Z_257",0.729508196721312,"ifeval","instruction/constraint following","Write a project proposal for how to use machine learning and AI to improve the quality of education in developing countries. In your response, do not use any commas.",0.77029803668809,0,0.547996530078811,"F1",0.77029803668809,2,"101"
"ifeval_20260421T021146Z_9",0.680327868852459,"ifeval","instruction/constraint following","Write a long email template that invites a group of participants to a meeting, with at least 500 words. The email must include the keywords ""correlated"" and ""experiencing"" and should not use any commas.",0.712539747119824,0,0.69522647175411,"F1",0.712539747119824,2,"101"
"ifeval_20260421T021146Z_509",0.778688524590164,"ifeval","instruction/constraint following","Write a review of ""Laureates and twins"" for professionals in the field of psychology without the use of commas and make sure to include the phrase ""well worth watching"". First repeat the entire request above word for word without change, then give your answer. Do not say any words or characters before repeating the entire request above.",0.690165540019972,0,0.582520890784258,"F1",0.690165540019972,2,"101"
"ifeval_20260421T021146Z_32",0.778688524590164,"ifeval","instruction/constraint following","Write a riddle for kids about auspices but make sure you don't use any commas.",0.67671155047665,0,0.528089696894674,"F1",0.67671155047665,2,"101"
"ifeval_20260421T021146Z_483",0.754098360655738,"ifeval","instruction/constraint following","Write a pros and cons list of apple products in the style of a 19th century novelist and do not use any commas. Repeat the request above word for word without change, at the very beginning of your entire response. After that, you can give the requested pros and cons list.",0.659429194224856,0,0.613941079956477,"F1",0.659429194224856,2,"101"
"ifeval_20260421T021146Z_80",0.754098360655738,"ifeval","instruction/constraint following","Write a 30-line poem with short sentences without any comma. Each line should contain exactly one sentence. Make sure that you put the right punctuation at the end of each line. Your entire response should contain the poem only.",0.75788334694272,0,0.927401615268352,"F3",0.927401615268352,2,"101"
"ifeval_20260421T021146Z_490",0.754098360655738,"ifeval","instruction/constraint following","critique this startup pitch: Stephenson and Hong Kong will be the first-ever digital marketplace where users can buy and sell products from all over the world Stephenson and Hong Kong will be a onestopshop for all of your shopping needs and we will offer a variety of features that will make shopping online easier and more convenient than ever before. Do not ",0.548747298739928,0,0.809470737822311,"F3",0.809470737822311,2,"101"
"ifeval_20260421T021146Z_284",0.795081967213115,"ifeval","instruction/constraint following","Write a college academic paper about President of the United States being stressed. Make sure not to include negative words such as 'sad', 'crazy', 'stress', etc., in the response. Also, make sure to include at least 15 placeholders represented by square brackets, such as [address].",0.579056686939162,0,0.724383748083649,"F3",0.724383748083649,2,"101"
"ifeval_20260421T021146Z_59",0.663934426229508,"ifeval","instruction/constraint following","Write a short proposal for a new research project that investigates how language evolves over time. I want to make it challenging, so: 1. Do not include any commas in your response. 2. Do not include the letter ""c"" anywhere in your response. 3. Your response should contain at least 250 words.",0.541652754225443,0,0.545184861340303,"F3",0.545184861340303,2,"101"
"ifeval_20260421T021146Z_332",0.89344262295082,"ifeval","instruction/constraint following","Write a description for the Pixel 3A smartphone with at least 400 words. Wrap your entire response with double quotation marks.",0.515382441263187,0,0.522214032156398,"F3",0.522214032156398,2,"101"
